Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
306,1313,B,30,H,   CC,0.08,0.08,282.22,
306,1313,B,31,H,1,1.5,1.5,283.4,
306,1313,B,31,H,2,1.5,1.5,284.9,
306,1313,B,31,H,3,1.5,1.5,286.4,
306,1313,B,31,H,4,1.5,1.5,287.9,
306,1313,B,31,H,5,1.5,1.5,289.4,
306,1313,B,31,H,6,1.5,1.5,290.9,
306,1313,B,31,H,7,0.67,0.67,292.4,
306,1313,B,31,H,CC(7),0.14,0.14,293.07,
306,1313,B,32,H,1,1.5,1.5,292.9,
306,1313,B,32,H,2,1.5,1.5,294.4,
306,1313,B,32,H,3,1.5,1.5,295.9,
306,1313,B,32,H,4,1.5,1.5,297.4,
306,1313,B,32,H,5,1.5,1.5,298.9,
306,1313,B,32,H,6,1.5,1.5,300.4,
306,1313,B,32,H,7,0.62,0.62,301.9,
306,1313,B,32,H,CC(7),0.15,0.15,302.52,
306,1313,C,1,H,1,1.5,1.5,0,
306,1313,C,1,H,2,1.05,1.05,1.5,
306,1313,C,1,H,CC(2),0.16,0.16,2.55,
306,1313,C,2,H,1,1.5,1.5,2.7,
306,1313,C,2,H,2,1.5,1.5,4.2,
306,1313,C,2,H,3,1.5,1.5,5.7,
306,1313,C,2,H,4,1.5,1.5,7.2,
306,1313,C,2,H,5,1.5,1.5,8.7,
